Virome_Sample,Metagenome_Sample,Phylum,Microbe,Phage_Abundance,Microbial_Abundance,Phage_Prevalence,Microbial_Prevalence,Phage_Host_Co_Detections
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Tenericutes,Acholeplasma,1.43E-05,1.546500265,39,27,27
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Acidovorax,2.08E-06,0,39,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Aeromonas,0.000109055,0,39,3,3
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Alicyclobacillus,2.13E-06,0,38,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Aliivibrio,7.84E-07,0,39,2,2
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Alteromonas,3.87E-06,0,39,2,2
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Actinobacteria,Atopobium,3.43E-06,0,39,22,22
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Azospirillum,1.14E-06,0,36,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Bacillus,0.001011273,0,39,7,7
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Bacteroidetes,Bacteroides,3.71E-05,0,39,4,4
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Bdellovibrio,3.43E-06,0,39,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Actinobacteria,Bifidobacterium,6.37E-06,0,39,19,19
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Bordetella,5.35E-06,0,38,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Spirochaetes,Brachyspira,1.42E-05,0,39,7,7
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Burkholderia,7.03E-05,0.025529612,39,20,20
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Campylobacter,0.000285599,0,39,4,4
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,C_Pelagibacter,0.045866812,8.301133913,39,36,36
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,C_Puniceispirillum,0.001512061,0.388285356,39,15,15
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Carnobacterium,3.07E-06,0,39,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Bacteroidetes,Cellulophaga,0.000191027,0,39,6,6
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Chromobacterium,1.53E-06,0,32,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Actinobacteria,Clavibacter,4.01E-06,0,39,2,2
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Clostridium,0.000697331,0.662887018,39,27,27
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Comamonas,1.91E-06,0,35,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Coprococcus,1.57E-06,0,31,14,11
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Actinobacteria,Corynebacterium,9.83E-06,0,39,7,7
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Bacteroidetes,Croceibacter,5.76E-06,0.519850445,39,24,24
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Cyanobacteria,Cyanothece,4.09E-07,0,36,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Deinococcus-Thermus,Deinococcus,3.05E-06,0,39,3,3
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Desulfovibrio,2.35E-05,0,39,6,6
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Eubacterium,8.09E-05,0,39,3,3
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Exiguobacterium,1.75E-06,0.118540418,36,22,21
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Bacteroidetes,Flavobacterium,0.00539376,0,39,22,22
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Fusobacteria,Fusobacterium,0.000109517,0.098311939,39,26,26
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Actinobacteria,Gardnerella,5.35E-06,0,39,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Gluconobacter,2.36E-06,0,39,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Hahella,7.63E-07,0,39,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Euryarchaeota,Haloferax,1.53E-06,0,37,15,13
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Euryarchaeota,Haloquadratum,0,3.572522612,9,38,9
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Helicobacter,3.44E-05,0,39,3,3
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Idiomarina,5.72E-06,0,39,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Lactobacillus,0.000250156,0,39,10,10
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Spirochaetes,Leptospira,0.000176609,1.090518976,39,36,36
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Fusobacteria,Leptotrichia,3.31E-05,0,39,6,6
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Leuconostoc,1.40E-05,0.418254413,39,28,28
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Listeria,0.000144972,0,39,4,4
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Magnetospirillum,5.40E-06,0.086729371,39,19,19
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Marinomonas,3.43E-06,0.579463916,37,21,20
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Crenarchaeota,Metallosphaera,3.82E-07,0,25,4,3
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Euryarchaeota,Methanobacterium,0,0.916084408,21,36,20
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Euryarchaeota,Methanobrevibacter,6.20E-06,0,39,2,2
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Euryarchaeota,Methanothermobacter,4.33E-06,0,34,3,3
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Methylophaga,3.82E-07,0,34,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Moraxella,1.14E-05,0,39,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Actinobacteria,Mycobacterium,0.000181095,0,39,2,2
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Tenericutes,Mycoplasma,2.00E-06,0,39,31,31
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Myxococcus,2.67E-06,0.32189556,38,36,35
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Euryarchaeota,Natrialba,2.32E-06,0,39,2,2
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Neisseria,2.02E-05,0,39,7,7
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Actinobacteria,Olsenella,2.29E-06,0,37,11,10
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Phaeobacter,0,0,34,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Planctomycetes,Planctomyces,0,0,30,3,3
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Bacteroidetes,Porphyromonas,2.44E-06,0.243543539,35,22,19
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Bacteroidetes,Prevotella,4.19E-05,0,39,16,16
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Cyanobacteria,Prochlorococcus,0.078213459,23.30940508,39,39,39
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Actinobacteria,Propionibacterium,6.87E-06,0,39,2,2
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Pseudoalteromonas,0.000155031,0,39,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Psychrobacter,4.96E-06,0,39,2,2
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Rhizobium,1.47E-05,0,39,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Rhodobacter,1.20E-05,0.03578025,39,11,11
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Planctomycetes,Rhodopirellula,7.68E-07,0.312361167,35,23,20
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Bacteroidetes,Riemerella,1.62E-05,0,39,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Roseburia,3.43E-06,0,39,3,3
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Ruegeria,2.33E-06,0,39,10,10
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Bacteroidetes,Salinibacter,0,0,19,3,2
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Selenomonas,9.97E-06,0,39,6,6
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Serratia,1.94E-05,0,39,4,4
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Shewanella,2.44E-05,0,39,5,5
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Sphingobium,9.97E-06,0,39,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Spirochaetes,Spirochaeta,7.65E-07,0,35,6,5
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Tenericutes,Spiroplasma,9.37E-05,0.8010169,39,27,27
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Staphylococcus,0.000465022,0.914321562,39,31,31
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Stigmatella,1.53E-06,0,31,1,1
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Streptococcus,0.00030417,0.665298592,39,35,35
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Crenarchaeota,Sulfolobus,6.12E-06,2.080727521,39,22,22
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Cyanobacteria,Synechococcus,0.03731794,0.081384194,39,26,26
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Thermoanaerobacterium,6.12E-06,0,39,3,3
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Deinococcus-Thermus,Thermus,4.01E-05,0,39,14,14
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Spirochaetes,Treponema,2.29E-06,0,39,8,8
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Vibrio,0.000240413,0,39,10,10
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Firmicutes,Weissella,1.91E-06,0,39,3,3
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Wolbachia,2.74E-05,0,39,2,2
ETARA_018_DCM_Mediterranean_Sea_Black_Sea_Province,TARA_018_DCM_0.22-1.6,Proteobacteria,Xylella,1.03E-05,0,39,7,7
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Tenericutes,Acholeplasma,3.23E-05,1.738772913,39,27,27
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Acidovorax,4.35E-05,0,39,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Aeromonas,0.000401513,0,39,3,3
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Firmicutes,Alicyclobacillus,3.06E-05,0,38,1,1
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Aliivibrio,4.58E-06,0,39,2,2
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Alteromonas,6.14E-06,0,39,2,2
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Actinobacteria,Atopobium,7.48E-05,0,39,22,22
ETARA_018_SRF_Mediterranean_Sea_Black_Sea_Province,TARA_018_SRF_0.22-1.6,Proteobacteria,Azospirillum,1.47E-05,0,36,1,1
